sample	group	P	odds.ratio	Jaccard	intersection	union	FDR	LOGP	LOGFDR	ens_id	symbol
ASC.C31 Down	PHGblue_1	0.956297434304648	0.457566449173168	0.00596421471172962	3	503	1	0.0194070094113029	0	ENSMUSG00000021149,ENSMUSG00000022471,ENSMUSG00000051674	Gtpbp4,Xrcc6,Dcun1d4
ASC.C31 Down	TCXblue_1	0.301707157522084	1.12041324888519	0.0317145688800793	32	1009	1	0.520414386757484	0	ENSMUSG00000004892,ENSMUSG00000004902,ENSMUSG00000010095,ENSMUSG00000015085,ENSMUSG00000019232,ENSMUSG00000019803,ENSMUSG00000020263,ENSMUSG00000020611,ENSMUSG00000020961,ENSMUSG00000021127,ENSMUSG00000021466,ENSMUSG00000021589,ENSMUSG00000024620,ENSMUSG00000024978,ENSMUSG00000027168,ENSMUSG00000027452,ENSMUSG00000027737,ENSMUSG00000028556,ENSMUSG00000029838,ENSMUSG00000030235,ENSMUSG00000031283,ENSMUSG00000031925,ENSMUSG00000039607,ENSMUSG00000039701,ENSMUSG00000045092,ENSMUSG00000045608,ENSMUSG00000048424,ENSMUSG00000050199,ENSMUSG00000050840,ENSMUSG00000050965,ENSMUSG00000058835,ENSMUSG00000067279	Bcan,Slc25a18,Slc3a2,Entpd2,Etnppl,Nr2e1,Appl2,Gna13,Ston2,Zfp36l1,Ptch1,Rhobtb3,Pdgfrb,Gpam,Pax6,Acss1,Slc7a11,Dock7,Ptn,Slco1c1,Chrdl1,Maml2,Rbms3,Usp53,S1pr1,Dbx2,Ranbp3l,Lgr4,Cdh20,Prkca,Abi1,Ppp1r3c
ASC.C31 Down	DLPFCblue_4	0.983348647079761	0.380775340217195	0.0056390977443609	3	532	1	0.00729247539527766	0	ENSMUSG00000021127,ENSMUSG00000031647,ENSMUSG00000055538	Zfp36l1,Mfap3l,Zcchc24
ASC.C31 Down	TCXturquoise_2	0.999539150543588	0.193244888713188	0.00341880341880342	2	585	1	0.000200190508295106	0	ENSMUSG00000025283,ENSMUSG00000028028	Sat1,Alpk1
ASC.C31 Down	PHGturquoise_1	0.999971091376897	0.249753755420925	0.00632111251580278	5	791	1	1.25550369684921e-05	0	ENSMUSG00000021127,ENSMUSG00000024998,ENSMUSG00000025283,ENSMUSG00000026600,ENSMUSG00000028028	Zfp36l1,Plce1,Sat1,Soat1,Alpk1
ASC.C31 Down	DLPFCblue_1	0.0348894527663979	1.50807557942863	0.0349740932642487	27	772	0.732678508094356	1.4573058423145	0.135086547580582	ENSMUSG00000004902,ENSMUSG00000010095,ENSMUSG00000015085,ENSMUSG00000019232,ENSMUSG00000019803,ENSMUSG00000020263,ENSMUSG00000020961,ENSMUSG00000021466,ENSMUSG00000021589,ENSMUSG00000024978,ENSMUSG00000024985,ENSMUSG00000027452,ENSMUSG00000027737,ENSMUSG00000028556,ENSMUSG00000029838,ENSMUSG00000030235,ENSMUSG00000031283,ENSMUSG00000031925,ENSMUSG00000033629,ENSMUSG00000045092,ENSMUSG00000045608,ENSMUSG00000048424,ENSMUSG00000050199,ENSMUSG00000050840,ENSMUSG00000050965,ENSMUSG00000055862,ENSMUSG00000058835	Slc25a18,Slc3a2,Entpd2,Etnppl,Nr2e1,Appl2,Ston2,Ptch1,Rhobtb3,Gpam,Tcf7l2,Acss1,Slc7a11,Dock7,Ptn,Slco1c1,Chrdl1,Maml2,Hacd3,S1pr1,Dbx2,Ranbp3l,Lgr4,Cdh20,Prkca,Izumo4,Abi1
ASC.C31 Down	TCXgreen_1	0.999999999986692	0.34910379982121	0.0152603231597846	34	2228	1	5.77969667082559e-12	0	ENSMUSG00000002107,ENSMUSG00000002265,ENSMUSG00000003279,ENSMUSG00000015968,ENSMUSG00000020457,ENSMUSG00000020541,ENSMUSG00000020704,ENSMUSG00000021373,ENSMUSG00000022494,ENSMUSG00000022629,ENSMUSG00000023826,ENSMUSG00000024130,ENSMUSG00000024976,ENSMUSG00000025981,ENSMUSG00000026527,ENSMUSG00000026571,ENSMUSG00000027834,ENSMUSG00000028020,ENSMUSG00000029088,ENSMUSG00000031137,ENSMUSG00000033565,ENSMUSG00000034755,ENSMUSG00000034813,ENSMUSG00000036815,ENSMUSG00000039037,ENSMUSG00000039601,ENSMUSG00000039809,ENSMUSG00000041272,ENSMUSG00000041670,ENSMUSG00000046230,ENSMUSG00000051331,ENSMUSG00000052539,ENSMUSG00000056602,ENSMUSG00000059187	Celf2,Peg3,Dlgap1,Cacna1d,Drg1,Tom1l1,Asic2,Cap2,Shisa9,Kif21a,Prkn,Abca3,Shoc2,Coq10b,Rgs7,Dcaf6,Serpini1,Glrb,Kcnip4,Fgf13,Rbfox2,Pcdh11x,Grip1,Dpp10,St6galnac5,Rcan2,Gabbr2,Tox,Rims1,Vps13a,Cacna1c,Magi3,Fry,Tafa1
ASC.C31 Down	DLPFCbrown_1	1	0	0	0	521	1	0	0		NA
ASC.C31 Down	TCXyellow_1	0.999955755433317	0.418993036771596	0.0136752136752137	16	1170	1	1.9215596260557e-05	0	ENSMUSG00000001773,ENSMUSG00000004508,ENSMUSG00000019899,ENSMUSG00000020160,ENSMUSG00000027422,ENSMUSG00000027525,ENSMUSG00000030760,ENSMUSG00000030849,ENSMUSG00000032649,ENSMUSG00000032740,ENSMUSG00000036019,ENSMUSG00000039047,ENSMUSG00000041235,ENSMUSG00000043259,ENSMUSG00000049800,ENSMUSG00000065979	Folh1,Gab2,Lama2,Meis1,Rrbp1,Phactr3,Acer3,Fgfr2,Colgalt2,Ccdc88a,Tmtc2,Pigk,Chd7,Fam13c,Sertad2,Cpped1
ASC.C31 Down	PHGgreen_1	0.975359386646913	0.617752606135885	0.0163360560093349	14	857	1	0.0108353321177895	0	ENSMUSG00000001773,ENSMUSG00000004508,ENSMUSG00000020160,ENSMUSG00000027422,ENSMUSG00000027525,ENSMUSG00000030760,ENSMUSG00000030849,ENSMUSG00000032649,ENSMUSG00000032740,ENSMUSG00000036019,ENSMUSG00000041235,ENSMUSG00000043259,ENSMUSG00000055538,ENSMUSG00000065979	Folh1,Gab2,Meis1,Rrbp1,Phactr3,Acer3,Fgfr2,Colgalt2,Ccdc88a,Tmtc2,Chd7,Fam13c,Zcchc24,Cpped1
ASC.C31 Down	DLPFCyellow_1	0.999999974248933	0.350519522817792	0.013299556681444	21	1579	1	1.11835463733155e-08	0	ENSMUSG00000002265,ENSMUSG00000003279,ENSMUSG00000020704,ENSMUSG00000021373,ENSMUSG00000024130,ENSMUSG00000026527,ENSMUSG00000026571,ENSMUSG00000027834,ENSMUSG00000028020,ENSMUSG00000029088,ENSMUSG00000031137,ENSMUSG00000033565,ENSMUSG00000034813,ENSMUSG00000036815,ENSMUSG00000039037,ENSMUSG00000039601,ENSMUSG00000039809,ENSMUSG00000046230,ENSMUSG00000051331,ENSMUSG00000056602,ENSMUSG00000059187	Peg3,Dlgap1,Asic2,Cap2,Abca3,Rgs7,Dcaf6,Serpini1,Glrb,Kcnip4,Fgf13,Rbfox2,Grip1,Dpp10,St6galnac5,Rcan2,Gabbr2,Vps13a,Cacna1c,Fry,Tafa1
ASC.C31 Down	PHGbrown_1	0.999861192488313	0.506012143458355	0.0178189593727726	25	1403	1	6.02875206495742e-05	0	ENSMUSG00000002265,ENSMUSG00000003279,ENSMUSG00000015968,ENSMUSG00000018707,ENSMUSG00000020704,ENSMUSG00000021373,ENSMUSG00000022494,ENSMUSG00000022629,ENSMUSG00000026527,ENSMUSG00000026571,ENSMUSG00000027834,ENSMUSG00000028020,ENSMUSG00000029088,ENSMUSG00000029534,ENSMUSG00000031137,ENSMUSG00000032217,ENSMUSG00000033565,ENSMUSG00000034813,ENSMUSG00000036815,ENSMUSG00000039037,ENSMUSG00000039601,ENSMUSG00000039809,ENSMUSG00000052539,ENSMUSG00000056602,ENSMUSG00000059187	Peg3,Dlgap1,Cacna1d,Dync1h1,Asic2,Cap2,Shisa9,Kif21a,Rgs7,Dcaf6,Serpini1,Glrb,Kcnip4,St7,Fgf13,Rnf111,Rbfox2,Grip1,Dpp10,St6galnac5,Rcan2,Gabbr2,Magi3,Fry,Tafa1
ASC.C31 Down	TCXbrown_4	0.566985375065626	1.00643906446867	0.00896860986547085	4	446	1	0.246428143241507	0	ENSMUSG00000014668,ENSMUSG00000024287,ENSMUSG00000032558,ENSMUSG00000060579	Chfr,Thoc1,Nphp3,Fhit
ASC.C31 Down	TCXgreen_2	1	0	0	0	440	1	0	0		NA
ASC.C31 Down	DLPFCbrown_2	0.531889493865715	1.03924142503755	0.010752688172043	5	465	1	0.274178587985884	0	ENSMUSG00000020611,ENSMUSG00000024620,ENSMUSG00000025025,ENSMUSG00000026923,ENSMUSG00000030849	Gna13,Pdgfrb,Mxi1,Notch1,Fgfr2
ASC.C31 Down	TCXyellow_2	0.916464896588997	0.596564273254615	0.00919117647058824	5	544	1	0.0378841651913009	0	ENSMUSG00000026923,ENSMUSG00000031902,ENSMUSG00000032846,ENSMUSG00000067942,ENSMUSG00000099083	Notch1,Nfatc3,Zswim6,Zfp160,Atf7
ASC.C31 Down	DLPFCyellow_3	1	0	0	0	452	1	0	0		NA
ASC.C31 Down	PHGbrown_3	1	0	0	0	469	1	0	0		NA
ASC.C31 Down	DLPFCblue_3	0.999774043695412	0.116077203199811	0.00182815356489945	1	547	1	9.81426646282439e-05	0	ENSMUSG00000039217	Il18
ASC.C31 Down	TCXturquoise_1	0.999990789053476	0.0835106941305486	0.00161550888529887	1	619	1	4.00028167148401e-06	0	ENSMUSG00000039217	Il18
ASC.C31 Down	PHGturquoise_2	1	0	0	0	429	1	0	0		NA
ASC.C31 Down	DLPFCturquoise_1	0.999706004356205	0.296130128467121	0.0068870523415978	5	726	1	0.000127699458265747	0	ENSMUSG00000014668,ENSMUSG00000020070,ENSMUSG00000021938,ENSMUSG00000024500,ENSMUSG00000039934	Chfr,Rufy2,Pspc1,Ppp2r2b,Gsap
ASC.C31 Down	TCXturquoise_3	0.991666724346095	0.34105523729373	0.00543478260869565	3	552	1	0.00363425939473443	0	ENSMUSG00000024140,ENSMUSG00000027896,ENSMUSG00000048332	Epas1,Slc16a4,Lhfp
ASC.C31 Down	TCXbrown_3	1	0	0	0	553	1	0	0		NA
ASC.C31 Down	PHGbrown_2	0.951814245023266	0.506180548081346	0.0075046904315197	4	533	1	0.021447799759257	0	ENSMUSG00000002107,ENSMUSG00000032187,ENSMUSG00000037331,ENSMUSG00000051331	Celf2,Smarca4,Larp1,Cacna1c
ASC.C31 Down	TCXbrown_2	0.999763822546183	0.116703317141691	0.00183150183150183	1	546	1	0.000102582679277522	0	ENSMUSG00000068039	Tcp1
ASC.C31 Down	PHGblue_4	0.981647436383016	0.246734032198898	0.00223713646532438	1	447	1	0.00804446325821698	0	ENSMUSG00000019916	P4ha1
ASC.C31 Down	PHGyellow_1	0.361452886802054	1.12735455759006	0.0235640648011782	16	679	1	0.441948302339904	0	ENSMUSG00000004902,ENSMUSG00000010095,ENSMUSG00000020263,ENSMUSG00000020611,ENSMUSG00000020961,ENSMUSG00000021589,ENSMUSG00000024998,ENSMUSG00000026923,ENSMUSG00000027737,ENSMUSG00000028556,ENSMUSG00000031925,ENSMUSG00000033671,ENSMUSG00000039701,ENSMUSG00000045092,ENSMUSG00000050199,ENSMUSG00000050840	Slc25a18,Slc3a2,Appl2,Gna13,Ston2,Rhobtb3,Plce1,Notch1,Slc7a11,Dock7,Maml2,Cep350,Usp53,S1pr1,Lgr4,Cdh20
ASC.C31 Down	TCXbrown_1	0.9998073465926	0.221412741492438	0.00458715596330275	3	654	1	8.3676372281746e-05	0	ENSMUSG00000020070,ENSMUSG00000039934,ENSMUSG00000057649	Rufy2,Gsap,Brd9
ASC.C31 Down	DLPFCblue_2	0.997730748542728	0.325436866776527	0.00636942675159236	4	628	1	0.000986643280669828	0	ENSMUSG00000025283,ENSMUSG00000026600,ENSMUSG00000027422,ENSMUSG00000028028	Sat1,Soat1,Rrbp1,Alpk1
ASC.C31 Down	DLPFCyellow_2	0.98964629139218	0.297992041638924	0.00395256916996047	2	506	1	0.00451999847798131	0	ENSMUSG00000022494,ENSMUSG00000058740	Shisa9,Kcnt1
ASC.C31 Down	PHGbrown_4	0.979971400659121	0.252341737598787	0.00224719101123596	1	445	1	0.00878659850869676	0	ENSMUSG00000033597	Caskin1
ASC.C31 Down	PHGblue_2	0.987618050051788	0.224275093227422	0.00219298245614035	1	456	1	0.00541098135021626	0	ENSMUSG00000020070	Rufy2
ASC.C31 Down	PHGblue_3	1	0	0	0	470	1	0	0		NA
ASC.C31 Down	DLPFCturquoise_2	0.986165572280949	0.441456351591279	0.00822368421052632	5	608	1	0.00605016305958982	0	ENSMUSG00000019916,ENSMUSG00000026004,ENSMUSG00000028163,ENSMUSG00000036087,ENSMUSG00000046034	P4ha1,Kansl1l,Nfkb1,Slain2,Otulin
ASC.C31 Up	PHGblue_1	0.0693577983703166	1.61615519924405	0.0217054263565891	14	645	1	1.15890470115466	0	ENSMUSG00000005779,ENSMUSG00000010376,ENSMUSG00000012405,ENSMUSG00000015733,ENSMUSG00000020267,ENSMUSG00000020333,ENSMUSG00000022205,ENSMUSG00000022551,ENSMUSG00000022956,ENSMUSG00000032301,ENSMUSG00000038717,ENSMUSG00000062270,ENSMUSG00000062580,ENSMUSG00000069744	Psmb4,Nedd8,Rpl15,Capza2,Hint1,Acsl6,Sub1,Cyc1,Atp5o,Psma4,Atp5l,Morf4l1,Timm17a,Psmb3
ASC.C31 Up	TCXblue_1	0.997578133846928	0.592163588963718	0.0222602739726027	26	1168	1	0.0010530788295291	0	ENSMUSG00000018849,ENSMUSG00000019132,ENSMUSG00000020585,ENSMUSG00000022037,ENSMUSG00000022323,ENSMUSG00000022816,ENSMUSG00000024347,ENSMUSG00000024411,ENSMUSG00000024516,ENSMUSG00000026223,ENSMUSG00000026510,ENSMUSG00000027087,ENSMUSG00000027447,ENSMUSG00000028444,ENSMUSG00000030029,ENSMUSG00000030246,ENSMUSG00000030307,ENSMUSG00000032324,ENSMUSG00000032470,ENSMUSG00000038014,ENSMUSG00000041329,ENSMUSG00000041688,ENSMUSG00000042682,ENSMUSG00000052397,ENSMUSG00000054252,ENSMUSG00000060002	Wwc1,BC005537,Laptm4a,Clu,Rida,Fstl1,Psd2,Aqp4,Sec11c,Itm2c,Trp53bp2,Itgav,Cst3,Cntfr,Lrig1,Ldhb,Slc6a11,Tspan3,Mras,Fam120a,Atp1b2,Amot,Selenok,Ezr,Fgfr3,Chpt1
ASC.C31 Up	DLPFCblue_4	0.92264068876898	0.627168983693374	0.0102790014684288	7	681	1	0.0349673967706838	0	ENSMUSG00000001521,ENSMUSG00000016559,ENSMUSG00000022816,ENSMUSG00000028128,ENSMUSG00000028525,ENSMUSG00000030029,ENSMUSG00000073418	Tulp3,H3f3b,Fstl1,F3,Pde4b,Lrig1,C4b
ASC.C31 Up	TCXturquoise_2	1	0	0	0	740	1	0	0		NA
ASC.C31 Up	PHGturquoise_1	0.999999978916011	0.17044816337539	0.00529661016949153	5	944	1	9.15666041644568e-09	0	ENSMUSG00000022816,ENSMUSG00000026385,ENSMUSG00000030029,ENSMUSG00000044533,ENSMUSG00000070372	Fstl1,Dbi,Lrig1,Rps2,Capza1
ASC.C31 Up	DLPFCblue_1	0.862032829510796	0.803369808524911	0.0236559139784946	22	930	1	0.0644761942635874	0	ENSMUSG00000006205,ENSMUSG00000008734,ENSMUSG00000015090,ENSMUSG00000018849,ENSMUSG00000020585,ENSMUSG00000022037,ENSMUSG00000022323,ENSMUSG00000024347,ENSMUSG00000024411,ENSMUSG00000024593,ENSMUSG00000026223,ENSMUSG00000026510,ENSMUSG00000027087,ENSMUSG00000028444,ENSMUSG00000030307,ENSMUSG00000032324,ENSMUSG00000032702,ENSMUSG00000033208,ENSMUSG00000041329,ENSMUSG00000041688,ENSMUSG00000054252,ENSMUSG00000060002	Htra1,Gprc5b,Ptgds,Wwc1,Laptm4a,Clu,Rida,Psd2,Aqp4,Megf10,Itm2c,Trp53bp2,Itgav,Cntfr,Slc6a11,Tspan3,Kank1,S100b,Atp1b2,Amot,Fgfr3,Chpt1
ASC.C31 Up	TCXgreen_1	0.615490182360285	0.973185526700385	0.0490877497827976	113	2302	1	0.210778870077521	0	ENSMUSG00000001175,ENSMUSG00000001525,ENSMUSG00000007617,ENSMUSG00000009894,ENSMUSG00000018474,ENSMUSG00000018548,ENSMUSG00000018965,ENSMUSG00000019210,ENSMUSG00000019370,ENSMUSG00000019831,ENSMUSG00000019943,ENSMUSG00000020267,ENSMUSG00000020340,ENSMUSG00000020431,ENSMUSG00000020627,ENSMUSG00000021087,ENSMUSG00000021219,ENSMUSG00000021772,ENSMUSG00000021816,ENSMUSG00000021978,ENSMUSG00000022055,ENSMUSG00000022205,ENSMUSG00000022295,ENSMUSG00000022311,ENSMUSG00000022658,ENSMUSG00000022674,ENSMUSG00000023456,ENSMUSG00000024163,ENSMUSG00000024268,ENSMUSG00000024425,ENSMUSG00000024617,ENSMUSG00000025190,ENSMUSG00000025217,ENSMUSG00000025658,ENSMUSG00000025855,ENSMUSG00000025867,ENSMUSG00000025889,ENSMUSG00000026179,ENSMUSG00000026202,ENSMUSG00000026825,ENSMUSG00000026833,ENSMUSG00000027254,ENSMUSG00000027273,ENSMUSG00000027350,ENSMUSG00000027500,ENSMUSG00000027581,ENSMUSG00000027799,ENSMUSG00000027827,ENSMUSG00000028176,ENSMUSG00000028351,ENSMUSG00000028832,ENSMUSG00000028833,ENSMUSG00000028926,ENSMUSG00000029223,ENSMUSG00000030161,ENSMUSG00000030302,ENSMUSG00000030695,ENSMUSG00000030869,ENSMUSG00000031292,ENSMUSG00000031428,ENSMUSG00000031633,ENSMUSG00000031840,ENSMUSG00000032336,ENSMUSG00000032503,ENSMUSG00000032532,ENSMUSG00000032549,ENSMUSG00000032589,ENSMUSG00000033419,ENSMUSG00000033953,ENSMUSG00000033998,ENSMUSG00000036564,ENSMUSG00000037601,ENSMUSG00000037710,ENSMUSG00000038145,ENSMUSG00000038665,ENSMUSG00000039145,ENSMUSG00000039419,ENSMUSG00000040118,ENSMUSG00000041014,ENSMUSG00000044117,ENSMUSG00000044667,ENSMUSG00000045763,ENSMUSG00000046093,ENSMUSG00000046442,ENSMUSG00000046447,ENSMUSG00000047261,ENSMUSG00000048915,ENSMUSG00000049583,ENSMUSG00000049630,ENSMUSG00000051359,ENSMUSG00000051391,ENSMUSG00000052459,ENSMUSG00000052516,ENSMUSG00000052727,ENSMUSG00000052889,ENSMUSG00000053310,ENSMUSG00000054459,ENSMUSG00000054640,ENSMUSG00000054843,ENSMUSG00000055067,ENSMUSG00000056486,ENSMUSG00000056755,ENSMUSG00000059173,ENSMUSG00000060534,ENSMUSG00000060924,ENSMUSG00000061887,ENSMUSG00000062580,ENSMUSG00000062991,ENSMUSG00000063358,ENSMUSG00000063882,ENSMUSG00000067889,ENSMUSG00000079037,ENSMUSG00000089715	Calm1,Tubb5,Homer1,Snap47,Chd3,Trim37,Ywhah,Atp6v1e1,Calm3,Wasf1,Atp2b1,Hint1,Cyfip2,Adcy1,Klhl29,Rtn1,Rgs6,Nkiras1,Ppp3cb,Extl3,Nefl,Sub1,Atp6v1c1,Csmd3,Tagln3,Ube2v2,Tpi1,Mapk8ip3,Celf4,Ndfip1,Camk2a,Got1,Btrc,Cnksr2,Prkar1b,Cplx2,Snca,Pnkd,Tuba4a,Dnm1,Olfm1,Map1a,Snap25,Chgb,Stmn2,Stmn3,Nbea,Kcnab1,Lrrc7,Brinp1,Stmn1,Ncdn,Cdk14,Uchl1,Gabarapl1,Atp2b2,Aldoa,Ndufab1,Cdkl5,Zcchc18,Slc25a4,Rab3a,Nptn,Arpp21,Cck,Rab6b,Bsn,Snap91,Ppp3r1,Kcnk1,Ndrg4,Nme1,Cisd1,Snrk,Dgki,Camk1d,Cntnap2,Cacna2d1,Nrg3,Bmerb1,Plppr4,Basp1,Hpcal4,Ppm1e,Camk2n1,Gap43,Efna5,Grm5,C1ql3,Ncald,Ywhag,Atp6v1a,Robo2,Map1b,Prkcb,Nrgn,Vsnl1,Slc8a1,Atrnl1,Smyd3,Chn1,Grm7,Pde1a,Dcc,Csmd1,Ssbp3,Timm17a,Nrg1,Mapk1,Uqcrh,Sptbn2,Prnp,Cbx6
ASC.C31 Up	DLPFCbrown_1	0.673910543147775	0.894469208968568	0.0135338345864662	9	665	1	0.1713977491557	0	ENSMUSG00000016534,ENSMUSG00000022548,ENSMUSG00000025375,ENSMUSG00000030342,ENSMUSG00000031425,ENSMUSG00000032118,ENSMUSG00000034488,ENSMUSG00000042246,ENSMUSG00000068270	Lamp2,Apod,Aatk,Cd9,Plp1,Fez1,Edil3,Tmc7,Shroom4
ASC.C31 Up	TCXyellow_1	0.999991070329948	0.455795289570453	0.0190258751902588	25	1314	1	3.8781237437939e-06	0	ENSMUSG00000016534,ENSMUSG00000019054,ENSMUSG00000022139,ENSMUSG00000022883,ENSMUSG00000023861,ENSMUSG00000025375,ENSMUSG00000026234,ENSMUSG00000028399,ENSMUSG00000028618,ENSMUSG00000030342,ENSMUSG00000031425,ENSMUSG00000032118,ENSMUSG00000033985,ENSMUSG00000034066,ENSMUSG00000034488,ENSMUSG00000035376,ENSMUSG00000036528,ENSMUSG00000036745,ENSMUSG00000039621,ENSMUSG00000039959,ENSMUSG00000041607,ENSMUSG00000042246,ENSMUSG00000068270,ENSMUSG00000069601,ENSMUSG00000069670	Lamp2,Fis1,Mbnl2,Robo1,Mpc1,Aatk,Ncl,Ptprd,Tmem59,Cd9,Plp1,Fez1,Tesk2,Farp2,Edil3,Hacd2,Ppfibp2,Ttll7,Prex1,Hip1,Mbp,Tmc7,Shroom4,Ank3,Nkain2
ASC.C31 Up	PHGgreen_1	0.997315083166436	0.546684081528643	0.0178926441351889	18	1006	1	0.00116761273910016	0	ENSMUSG00000016534,ENSMUSG00000024593,ENSMUSG00000025375,ENSMUSG00000028399,ENSMUSG00000028525,ENSMUSG00000030342,ENSMUSG00000031425,ENSMUSG00000032118,ENSMUSG00000033985,ENSMUSG00000034488,ENSMUSG00000036528,ENSMUSG00000036745,ENSMUSG00000039621,ENSMUSG00000039959,ENSMUSG00000040759,ENSMUSG00000041607,ENSMUSG00000042246,ENSMUSG00000068270	Lamp2,Megf10,Aatk,Ptprd,Pde4b,Cd9,Plp1,Fez1,Tesk2,Edil3,Ppfibp2,Ttll7,Prex1,Hip1,Cmtm5,Mbp,Tmc7,Shroom4
ASC.C31 Up	DLPFCyellow_1	0.0590239682876778	1.2208550857278	0.0528528528528529	88	1665	0.978555263716763	1.22897159545439	0.00941464261762181	ENSMUSG00000001175,ENSMUSG00000004267,ENSMUSG00000005034,ENSMUSG00000008892,ENSMUSG00000009894,ENSMUSG00000018548,ENSMUSG00000018965,ENSMUSG00000019210,ENSMUSG00000019370,ENSMUSG00000019831,ENSMUSG00000019943,ENSMUSG00000020340,ENSMUSG00000020431,ENSMUSG00000020627,ENSMUSG00000021087,ENSMUSG00000021219,ENSMUSG00000021816,ENSMUSG00000022055,ENSMUSG00000022295,ENSMUSG00000022658,ENSMUSG00000022674,ENSMUSG00000024163,ENSMUSG00000024425,ENSMUSG00000024617,ENSMUSG00000025217,ENSMUSG00000025658,ENSMUSG00000025855,ENSMUSG00000025867,ENSMUSG00000025889,ENSMUSG00000026202,ENSMUSG00000026825,ENSMUSG00000026833,ENSMUSG00000027254,ENSMUSG00000027273,ENSMUSG00000027350,ENSMUSG00000027500,ENSMUSG00000027581,ENSMUSG00000027799,ENSMUSG00000027827,ENSMUSG00000028176,ENSMUSG00000028832,ENSMUSG00000028833,ENSMUSG00000028926,ENSMUSG00000029223,ENSMUSG00000029405,ENSMUSG00000030161,ENSMUSG00000030302,ENSMUSG00000031633,ENSMUSG00000031840,ENSMUSG00000032336,ENSMUSG00000032503,ENSMUSG00000032532,ENSMUSG00000032549,ENSMUSG00000032589,ENSMUSG00000033066,ENSMUSG00000033161,ENSMUSG00000033419,ENSMUSG00000033953,ENSMUSG00000033998,ENSMUSG00000036564,ENSMUSG00000037601,ENSMUSG00000037710,ENSMUSG00000039419,ENSMUSG00000040118,ENSMUSG00000044117,ENSMUSG00000044667,ENSMUSG00000045763,ENSMUSG00000046093,ENSMUSG00000046442,ENSMUSG00000047261,ENSMUSG00000048915,ENSMUSG00000049583,ENSMUSG00000051359,ENSMUSG00000051391,ENSMUSG00000052459,ENSMUSG00000052516,ENSMUSG00000052727,ENSMUSG00000052889,ENSMUSG00000053310,ENSMUSG00000054459,ENSMUSG00000054640,ENSMUSG00000054843,ENSMUSG00000056486,ENSMUSG00000059173,ENSMUSG00000060534,ENSMUSG00000060924,ENSMUSG00000062991,ENSMUSG00000067889	Calm1,Eno2,Prkacb,Vdac3,Snap47,Trim37,Ywhah,Atp6v1e1,Calm3,Wasf1,Atp2b1,Cyfip2,Adcy1,Klhl29,Rtn1,Rgs6,Ppp3cb,Nefl,Atp6v1c1,Tagln3,Ube2v2,Mapk8ip3,Ndfip1,Camk2a,Btrc,Cnksr2,Prkar1b,Cplx2,Snca,Tuba4a,Dnm1,Olfm1,Map1a,Snap25,Chgb,Stmn2,Stmn3,Nbea,Kcnab1,Lrrc7,Stmn1,Ncdn,Cdk14,Uchl1,G3bp2,Gabarapl1,Atp2b2,Slc25a4,Rab3a,Nptn,Arpp21,Cck,Rab6b,Bsn,Gas7,Atp1a1,Snap91,Ppp3r1,Kcnk1,Ndrg4,Nme1,Cisd1,Cntnap2,Cacna2d1,Bmerb1,Plppr4,Basp1,Hpcal4,Ppm1e,Gap43,Efna5,Grm5,Ncald,Ywhag,Atp6v1a,Robo2,Map1b,Prkcb,Nrgn,Vsnl1,Slc8a1,Atrnl1,Chn1,Pde1a,Dcc,Csmd1,Nrg1,Sptbn2
